 ,result,time
p1,9678.0,2.75600004196167
p2,7990.0,2.744999885559082
p3,9603.0,2.640000104904175
p4,11591.0,2.743000030517578
p5,9605.0,3.25600004196167
p6,8138.0,2.810999870300293
p7,10329.0,2.6430001258850098
p8,12329.0,2.49399995803833
p9,9148.0,2.372000217437744
p10,7704.0,2.4840002059936523
p11,9504.0,2.305000066757202
p12,11455.0,2.312000036239624
p13,8452.0,4.171000003814697
p14,7560.0,4.086000204086304
p15,10662.0,4.01200008392334
p16,11602.0,4.312000036239624
p17,9014.0,4.2099997997283936
p18,8003.0,5.271000146865845
p19,9775.0,5.880000114440918
p20,11640.0,5.6559998989105225
p21,8349.0,7.17300009727478
p22,7831.0,6.1540000438690186
p23,9877.0,7.026000022888184
p24,12410.0,6.108999967575073
p25,14339.0,20.210000038146973
p26,13302.0,19.980000019073486
p27,15251.0,18.19099998474121
p28,19461.0,23.40000009536743
p29,15079.0,19.846999883651733
p30,13307.0,20.64199995994568
p31,16281.0,20.246000051498413
p32,17362.0,19.317000150680542
p33,13992.0,20.42799997329712
p34,13222.0,19.358999967575073
p35,15299.0,21.421000003814697
p36,17986.0,18.194000005722046
p37,13301.0,18.980000019073486
p38,12688.0,20.819000005722046
p39,15036.0,21.80900001525879
p40,18436.0,20.05400013923645
p41,7366.0,6.083000183105469
p42,7391.0,8.682999849319458
p43,6614.0,11.13700008392334
p44,7577.0,6.707000017166138
p45,7425.0,10.75600004196167
p46,6829.0,13.08899998664856
p47,7678.0,6.708999872207642
p48,6772.0,9.803999900817871
p49,6676.0,13.911999940872192
p50,9516.0,7.547000169754028
p51,8883.0,11.312000036239624
p52,9972.0,6.828999996185303
p53,10456.0,11.537000179290771
p54,11990.0,5.876000165939331
p55,9105.0,11.332000017166138
p56,23882.0,29.610000133514404
p57,32882.0,27.73200011253357
p58,53882.0,26.651000022888184
p59,32983.0,30.92199993133545
p60,23882.0,29.806999921798706
p61,32882.0,27.8989999294281
p62,53736.0,28.141000032424927
p63,29141.0,32.33500003814697
p64,23882.0,29.52300000190735
p65,32882.0,30.270999908447266
p66,53882.0,28.205999851226807
p67,29236.0,29.211999893188477
p68,23882.0,30.06599998474121
p69,32882.0,26.61400008201599
p70,53882.0,29.68400001525879
p71,31321.0,29.894999980926514
